id;contract_id;title;sol;agency;sub_tier;office;posteddate;type;basetype;setasidecode;setaside;responsedeadline;naicscode;classificationcode;popstate;popzip;popcountry;active;organizationtype;description
1;California standardization;killer Stand-alone;Moldova;Associate generate streamline;Costa Rican Colon Gloves Vatu;copying value-added Cotton;2020-07-22;EXE Lodge;Usability Connecticut;magenta Metrics;Granite;2020-07-22;Tasty Principal;Metal Personal Loan Account Bedfordshire;Checking Account;implement Fresh;users synergies FTP;Frozen;system-worthy;../fake-data/blob/hipster.txt
2;bypass schemas;extranet Granite;salmon;matrix Corporate;Orchestrator index Algerian Dinar;Licensed Granite Salad national Factors;2020-07-22;Identity;user-centric next generation;Texas;bus;2020-07-22;Persevering Metal firewall;transmitter orange;rich;synthesizing North Dakota;Street;PNG;digital Officer Applications;../fake-data/blob/hipster.txt
3;reinvent customized Pizza;disintermediate extranet;protocol Towels Garden;foreground Soft;monitor Executive Vista;Falkland Islands (Malvinas);2020-07-22;Garden Borders Books;navigate;Buckinghamshire;IB Uganda;2020-07-21;Electronics;Associate optical;black;Global Berkshire;integrate;Savings Account;Marketing program matrix;../fake-data/blob/hipster.txt
4;Awesome Spurs;Response Borders;Indiana generate cross-platform;XSS exuding Niue;Customer synthesize;synthesizing Chicken;2020-07-22;Mouse;fuchsia North Korean Won Papua New Guinea;extensible;Cross-platform contingency;2020-07-22;Gibraltar Pound magenta;Credit Card Account Group;generate Rustic Fresh Shirt;International Optimization;Turnpike quantifying;Canyon 1080p;Trafficway quantifying United Arab Emirates;../fake-data/blob/hipster.txt
5;interactive auxiliary Generic;next generation Investment Account;Regional United States of America;sexy Pizza;Creative repurpose Orchard;granular;2020-07-22;hack Hungary;Alaska digital;HTTP black turquoise;paradigms sky blue Ireland;2020-07-22;Re-contextualized SSL Sleek Plastic Car;Gloves envisioneer Handmade;Self-enabling;Georgia Bedfordshire;program;deposit;Plastic;../fake-data/blob/hipster.txt
6;Granite Corner;Yen Serbian Dinar;Credit Card Account;Supervisor;cross-platform invoice;Customer alarm;2020-07-22;capacitor;Avon Coordinator Hat;Technician;complexity;2020-07-22;synergistic Saint Kitts and Nevis;Armenia Designer;Iowa Mills bypassing;Up-sized;haptic Savings Account partnerships;back-end payment Triple-buffered;matrix;../fake-data/blob/hipster.txt
7;Planner Borders encryption;California Dominican Republic;Intelligent Fresh Car interface Dynamic;web-enabled Wooden;Buckinghamshire transitional Frozen;Generic Frozen Cheese Electronics;2020-07-22;National artificial intelligence;Forward Planner Isle of Man;Rustic Paradigm full-range;Universal;2020-07-22;Plastic Consultant;Generic Metal Chips Bouvet Island (Bouvetoya);Generic;Leone implement;Ports Decentralized technologies;invoice Games;relationships;../fake-data/blob/hipster.txt
8;New Mexico Synchronised Tuvalu;Designer Plastic;Analyst;connect;utilize Shoes Monitored;maroon Curve;2020-07-22;paradigm compelling Assistant;Investment Account;Puerto Rico;matrix firewall;2020-07-21;Guinea Franc salmon Investment Account;Parks neural;Supervisor Unbranded;Forward;Sleek Metal Chips ROI;Tennessee;core PNG;../fake-data/blob/hipster.txt
9;Generic Granite Hat Gorgeous Steel Table Directives;synergy Representative;Somalia Movies;Guinea Franc Savings Account Kwacha;Grocery brand Personal Loan Account;Optimization;2020-07-22;Supervisor;Granite Consultant;channels;Garden Human Engineer;2020-07-22;Corporate Soft pixel;bottom-line hub Fantastic Plastic Pizza;Equatorial Guinea;Senior Personal Loan Account payment;maximize alarm Bypass;end-to-end;Tools Belize Dollar;../fake-data/blob/hipster.txt
10;Data;Rustic granular;infrastructures deposit PCI;ubiquitous Principal Spring;Monitored Personal Loan Account;Incredible Plastic Chicken US Dollar Avon;2020-07-22;challenge Manager;generate;multi-byte evolve;content Response Gorgeous;2020-07-21;Kansas;backing up deposit Home Loan Account;incubate;optimizing B2C;Berkshire Movies Lilangeni;Branch;Movies;../fake-data/blob/hipster.txt
