id;contract_id;title;sol;agency;sub_tier;office;posteddate;type;basetype;setasidecode;setaside;responsedeadline;naicscode;classificationcode;popstate;popzip;popcountry;active;organizationtype;description
1;Estate high-level Palestinian Territory;generating;Fiji Dollar Rustic Steel Tuna;virtual Intelligent Concrete Shoes Bedfordshire;Investment Account Sports override;Principal blue;2020-07-22;Tuna;Well parsing;auxiliary payment;indigo;2020-07-22;generating Prairie;deposit visionary Soft;Salad;Leone cohesive e-commerce;Garden;hacking Proactive;efficient parsing;../fake-data/blob/hipster.txt
2;synergistic;Balanced Forward;Program Virtual invoice;Fantastic Steel Computer Associate;Handcrafted;interactive Configuration;2020-07-22;Customer Comoro Franc;AGP Parkways;payment RSS;Human Books connecting;2020-07-22;SSL transmitting;Markets Russian Ruble;customized;New Hampshire;Officer cyan silver;Frozen Square;Washington throughput;../fake-data/blob/hipster.txt
3;Identity;Frozen Rapid systematic;Avon;Concrete bluetooth haptic;Awesome Cook Islands;local;2020-07-22;invoice;Small bricks-and-clicks monetize;Cotton SDD Face to face;Handmade Plastic Chicken;2020-07-22;HDD;Hat;Intelligent;Ergonomic;Designer eco-centric;Infrastructure Centralized;client-server;../fake-data/blob/hipster.txt
4;Wooden Licensed even-keeled;Multi-channelled Computer;users invoice;orchestration;Money Market Account Belarussian Ruble Principal;e-enable Metal;2020-07-22;Self-enabling;Soft overriding;Music;incremental Shoes;2020-07-22;generate;Berkshire client-server compressing;neural integrated Zimbabwe Dollar;model;Qatari Rial matrix;Sleek Fresh Chair Soft;array Namibia grey;../fake-data/blob/hipster.txt
5;Granite;Auto Loan Account eco-centric bluetooth;Generic;sensor Licensed Plastic Car;South Carolina Island;Sausages deposit;2020-07-22;firewall Checking Account mobile;Developer innovate Automotive;West Virginia Wooden calculating;compressing;2020-07-22;Savings Account Paradigm transmitting;Handcrafted Cotton Shoes North Carolina;Money Market Account;Bedfordshire;United Kingdom;eyeballs XSS Haiti;Metal Illinois quantify;../fake-data/blob/hipster.txt
6;Borders Dynamic;Beauty;Ramp Infrastructure;Auto Loan Account;synthesize interactive parse;Nakfa Martinique Checking Account;2020-07-22;Auto Loan Account Bedfordshire Practical;Dynamic;XSS;Ukraine Dominica input;2020-07-21;Chips infrastructure;SCSI Montana;IB COM;fresh-thinking Intelligent Cotton Shoes;scalable;Guinea Franc;Ergonomic transmit;../fake-data/blob/hipster.txt
7;Granite Refined Concrete Sausages Home Loan Account;Unbranded redundant deposit;pixel transition Arizona;panel Grass-roots Home Loan Account;generating program;Liaison Cambridgeshire Centers;2020-07-21;composite cyan;program Intelligent Concrete Soap;quantify;AGP;2020-07-22;alarm mesh;Norway bricks-and-clicks;system multi-byte;Small Plastic Gloves Villages;quantifying solid state Latvia;Security Chief orange;Hawaii Open-architected UAE Dirham;../fake-data/blob/hipster.txt
8;platforms Gorgeous;invoice Belize Home Loan Account;even-keeled cultivate;system-worthy customer loyalty;North Carolina SCSI Vermont;Communications;2020-07-21;Identity payment Albania;Fiji Dollar;Avon;Incredible Frozen Shirt Mountain input;2020-07-22;Global deposit content;National Towels;Som hacking Investor;impactful;Hat;Shoes lime Ramp;Sausages Borders Buckinghamshire;../fake-data/blob/hipster.txt
9;synergies unleash;multi-byte El Salvador;Tasty Chips Avon;Frozen program reboot;Shoes white;Unbranded;2020-07-22;programming;Chad Antigua and Barbuda;Soft;Global Oklahoma clear-thinking;2020-07-21;Paradigm;navigating Specialist Incredible;Savings Account distributed Vision-oriented;Metal Directives Senegal;Montana digital;Road El Salvador web services;Assimilated Iceland Krona;../fake-data/blob/hipster.txt
10;Practical;Credit Card Account Data;programming superstructure;driver Falkland Islands (Malvinas);indexing;Incredible Technician;2020-07-22;Vision-oriented Supervisor Research;Personal Loan Account User-centric IB;Suriname;Tennessee;2020-07-22;Michigan Avon;Refined Rubber Chips Handcrafted Indian Rupee;programming;supply-chains Station;systems;Sports radical;leverage;../fake-data/blob/hipster.txt
