id;contract_id;title;sol;agency;sub_tier;office;posteddate;type;basetype;setasidecode;setaside;responsedeadline;naicscode;classificationcode;popstate;popzip;popcountry;active;organizationtype;description
1;web-enabled;Mountain enhance;throughput;red;transmit dynamic Savings Account;Lead indexing;2020-07-21;Chair Beauty;Investor;Station grow innovative;vertical Curve;2020-07-22;Credit Card Account budgetary management Soft;streamline Fantastic;deliverables;Stream;Personal Loan Account Croatia;Pizza;Tennessee Arkansas Practical Wooden Computer;../fake-data/blob/hipster.txt
2;Dynamic;user-centric hub Green;1080p New Mexico Malaysian Ringgit;FTP Practical;methodologies Assistant;Pizza Kyat Ergonomic;2020-07-21;Internal Regional District;Peso Uruguayo Uruguay Peso en Unidades Indexadas Computer web-readiness;Keyboard e-services;CFA Franc BEAC firmware;2020-07-22;Incredible Soft Shirt applications Ford;methodologies Avon;ubiquitous Virtual;compressing;parsing reinvent invoice;driver monitoring 1080p;Courts;../fake-data/blob/hipster.txt
3;Dynamic empowering;Interactions;Interactions Fundamental;Small Concrete Tuna project Shoes;silver fuchsia Mission;infrastructures Plastic Handmade;2020-07-22;PCI Michigan Solutions;Steel Awesome Soft Chair;Borders convergence Solutions;Tasty Frozen Soap maximized Buckinghamshire;2020-07-21;Avon Rest Legacy;Rubber;De-engineered Infrastructure e-business;District South Dakota Refined;Louisiana;Incredible Rubber Towels Generic Plastic Computer;Extensions Representative Rubber;../fake-data/blob/hipster.txt
4;Kansas Steel;Bedfordshire parse New Zealand Dollar;withdrawal functionalities;Brunei Dollar Ball programming;even-keeled;Cloned;2020-07-22;calculate Technician;tertiary;Colorado Nebraska;plug-and-play Auto Loan Account Salad;2020-07-22;Upgradable;deposit Shirt Chips;XML Fish Horizontal;navigate;Saint Vincent and the Grenadines Ireland FTP;Licensed;Administrator bandwidth facilitate;../fake-data/blob/hipster.txt
5;deposit Checking Account Brand;Concrete Reverse-engineered index;bottom-line Checking Account;e-tailers Licensed Cotton Computer;Rubber demand-driven;connect Australia bleeding-edge;2020-07-22;compress;SQL B2B Metal;forecast Representative;action-items Forward;2020-07-22;productivity Personal Loan Account;partnerships;Thailand compress invoice;Point Table;Outdoors Sleek;Granite AGP Regional;alarm copying Credit Card Account;../fake-data/blob/hipster.txt
6;ROI;auxiliary vortals Re-contextualized;Planner;Baby interface Wyoming;Team-oriented;deposit indexing Personal Loan Account;2020-07-21;deposit Bacon Court;deposit;Guinea-Bissau gold;Salad Baby transmit;2020-07-21;dot-com;capacitor haptic back up;District Rustic Rubber Soap;haptic;Refined Rustic;Savings Account Gloves deposit;driver cyan Myanmar;../fake-data/blob/hipster.txt
7;Salad withdrawal navigate;PCI SQL Synergistic;Awesome;Bacon Chips PNG;intermediate Functionality;Nicaragua mobile;2020-07-21;out-of-the-box Unbranded Plastic Ball Tactics;Pizza Configurable;users turn-key;Marshall Islands Lodge Ohio;2020-07-22;archive;Solutions Ouguiya;SMTP application Serbian Dinar;Convertible Marks;Unbranded;Profit-focused Avon Washington;quantify;../fake-data/blob/hipster.txt
8;driver Buckinghamshire integrate;Ergonomic Metal Gloves;Specialist installation Technician;Toys quantify;Metrics Paradigm Borders;magenta brand Handcrafted Steel Fish;2020-07-22;invoice reciprocal monetize;Soft Squares;Chief Shirt Indiana;Licensed Credit Card Account Wooden;2020-07-22;Uzbekistan Sum Officer;neural-net haptic;Michigan Soft navigating;Turks and Caicos Islands;Awesome Plastic Ball discrete Qatar;South Carolina Automotive Practical Granite Sausages;action-items;../fake-data/blob/hipster.txt
9;Investment Account responsive Mountains;Arizona;Beauty implementation;Credit Card Account deposit;Samoa;out-of-the-box South Carolina Denar;2020-07-22;invoice Kansas;initiatives Car;mobile;Bike Rubber ability;2020-07-22;Ball;Dynamic Executive;Intranet Frozen;hack Incredible Rubber Soap bandwidth;turquoise generate copy;circuit override;Soap Cambridgeshire;../fake-data/blob/hipster.txt
10;IB Bedfordshire;Money Market Account IB orchestration;methodology Designer logistical;Metal;Credit Card Account;Chicken;2020-07-22;Tools Practical Cotton Salad;algorithm protocol;Buckinghamshire;navigating workforce experiences;2020-07-22;Intuitive Human Dynamic;Facilitator;functionalities;Afghani black Applications;interface;real-time;JBOD payment;../fake-data/blob/hipster.txt
